ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.VerMensajesTest	vermensajestest	1590958749112	 	3.3.1
REQUEST	54		Welcome	1590958751281	1590958751283	OK	 
USER	VerMensajesTestNegativo	136	START	1590958751291	1590958751291
REQUEST	136		Welcome	1590958751291	1590958751293	OK	 
USER	VerMensajeTestPositivo	55	START	1590958751306	1590958751306
REQUEST	55		Welcome	1590958751306	1590958751308	OK	 
USER	VerMensajesTestNegativo	137	START	1590958751316	1590958751316
REQUEST	137		Welcome	1590958751316	1590958751318	OK	 
USER	VerMensajeTestPositivo	56	START	1590958751327	1590958751327
REQUEST	56		Welcome	1590958751327	1590958751329	OK	 
USER	VerMensajesTestNegativo	138	START	1590958751338	1590958751338
REQUEST	138		Welcome	1590958751338	1590958751340	OK	 
USER	VerMensajeTestPositivo	57	START	1590958751359	1590958751359
REQUEST	57		Welcome	1590958751360	1590958751362	OK	 
USER	VerMensajesTestNegativo	139	START	1590958751370	1590958751370
REQUEST	139		Welcome	1590958751370	1590958751373	OK	 
USER	VerMensajeTestPositivo	58	START	1590958751382	1590958751382
REQUEST	58		Welcome	1590958751382	1590958751385	OK	 
USER	VerMensajesTestNegativo	140	START	1590958751386	1590958751386
REQUEST	140		Welcome	1590958751387	1590958751390	OK	 
USER	VerMensajeTestPositivo	59	START	1590958751408	1590958751408
REQUEST	59		Welcome	1590958751408	1590958751410	OK	 
USER	VerMensajesTestNegativo	141	START	1590958751419	1590958751419
REQUEST	141		Welcome	1590958751419	1590958751421	OK	 
USER	VerMensajeTestPositivo	60	START	1590958751430	1590958751430
REQUEST	60		Welcome	1590958751430	1590958751432	OK	 
USER	VerMensajesTestNegativo	142	START	1590958751441	1590958751441
REQUEST	142		Welcome	1590958751441	1590958751443	OK	 
USER	VerMensajeTestPositivo	61	START	1590958751456	1590958751456
REQUEST	61		Welcome	1590958751456	1590958751459	OK	 
USER	VerMensajesTestNegativo	143	START	1590958751466	1590958751466
REQUEST	143		Welcome	1590958751467	1590958751469	OK	 
USER	VerMensajeTestPositivo	62	START	1590958751477	1590958751477
REQUEST	62		Welcome	1590958751478	1590958751480	OK	 
USER	VerMensajesTestNegativo	144	START	1590958751488	1590958751488
REQUEST	144		Welcome	1590958751488	1590958751491	OK	 
USER	VerMensajeTestPositivo	63	START	1590958751509	1590958751509
REQUEST	63		Welcome	1590958751510	1590958751512	OK	 
USER	VerMensajesTestNegativo	145	START	1590958751520	1590958751520
REQUEST	145		Welcome	1590958751521	1590958751523	OK	 
USER	VerMensajeTestPositivo	64	START	1590958751531	1590958751531
REQUEST	64		Welcome	1590958751532	1590958751534	OK	 
USER	VerMensajesTestNegativo	146	START	1590958751542	1590958751542
REQUEST	146		Welcome	1590958751542	1590958751546	OK	 
USER	VerMensajeTestPositivo	65	START	1590958751556	1590958751556
REQUEST	65		Welcome	1590958751556	1590958751559	OK	 
USER	VerMensajesTestNegativo	147	START	1590958751566	1590958751566
REQUEST	147		Welcome	1590958751566	1590958751568	OK	 
USER	VerMensajeTestPositivo	66	START	1590958751577	1590958751577
REQUEST	66		Welcome	1590958751577	1590958751579	OK	 
