ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.AceptarAnuncioTest	aceptaranunciotest	1590183771307	 	3.3.1
USER	AceptarAnuncioTestPositivo	98	START	1590183775919	1590183775919
USER	AceptarAnuncioTestNegativo	118	START	1590183775919	1590183775919
REQUEST	118		Welcome	1590183775921	1590183775930	OK	 
REQUEST	98		Welcome	1590183775920	1590183775930	OK	 
USER	AceptarAnuncioTestPositivo	99	START	1590183775959	1590183775959
USER	AceptarAnuncioTestNegativo	119	START	1590183775959	1590183775959
REQUEST	119		Welcome	1590183775961	1590183775971	OK	 
REQUEST	99		Welcome	1590183775961	1590183775971	OK	 
USER	AceptarAnuncioTestPositivo	100	START	1590183776009	1590183776009
USER	AceptarAnuncioTestNegativo	120	START	1590183776009	1590183776009
REQUEST	100		Welcome	1590183776010	1590183776018	OK	 
REQUEST	120		Welcome	1590183776010	1590183776019	OK	 
USER	AceptarAnuncioTestPositivo	101	START	1590183776068	1590183776068
USER	AceptarAnuncioTestNegativo	121	START	1590183776068	1590183776068
REQUEST	121		Welcome	1590183776069	1590183776081	OK	 
REQUEST	101		Welcome	1590183776069	1590183776081	OK	 
USER	AceptarAnuncioTestNegativo	122	START	1590183776116	1590183776116
USER	AceptarAnuncioTestPositivo	102	START	1590183776116	1590183776116
REQUEST	102		Welcome	1590183776117	1590183776123	OK	 
REQUEST	122		Welcome	1590183776117	1590183776123	OK	 
USER	AceptarAnuncioTestPositivo	103	START	1590183776171	1590183776171
USER	AceptarAnuncioTestNegativo	123	START	1590183776171	1590183776171
REQUEST	123		Welcome	1590183776171	1590183776178	OK	 
REQUEST	103		Welcome	1590183776171	1590183776178	OK	 
USER	AceptarAnuncioTestPositivo	104	START	1590183776220	1590183776220
USER	AceptarAnuncioTestNegativo	124	START	1590183776225	1590183776225
USER	AceptarAnuncioTestNegativo	145	START	1590183776232	1590183776232
USER	AceptarAnuncioTestPositivo	125	START	1590183776240	1590183776240
REQUEST	104		Welcome	1590183776220	1590183776243	OK	 
REQUEST	124		Welcome	1590183776226	1590183776246	OK	 
REQUEST	145		Welcome	1590183776235	1590183776246	OK	 
REQUEST	125		Welcome	1590183776241	1590183776248	OK	 
USER	AceptarAnuncioTestNegativo	146	START	1590183776277	1590183776277
USER	AceptarAnuncioTestPositivo	126	START	1590183776279	1590183776279
REQUEST	146		Welcome	1590183776278	1590183776283	OK	 
REQUEST	126		Welcome	1590183776280	1590183776285	OK	 
USER	AceptarAnuncioTestNegativo	147	START	1590183776319	1590183776319
REQUEST	147		Welcome	1590183776319	1590183776325	OK	 
USER	AceptarAnuncioTestPositivo	127	START	1590183776338	1590183776338
REQUEST	127		Welcome	1590183776339	1590183776345	OK	 
USER	AceptarAnuncioTestNegativo	148	START	1590183776375	1590183776375
REQUEST	148		Welcome	1590183776376	1590183776382	OK	 
USER	AceptarAnuncioTestNegativo	149	START	1590183776419	1590183776419
REQUEST	149		Welcome	1590183776419	1590183776425	OK	 
USER	AceptarAnuncioTestPositivo	128	START	1590183776379	1590183776379
USER	AceptarAnuncioTestPositivo	129	START	1590183776439	1590183776439
REQUEST	128		Welcome	1590183776436	1590183776443	OK	 
REQUEST	129		Welcome	1590183776440	1590183776449	OK	 
USER	AceptarAnuncioTestNegativo	150	START	1590183776478	1590183776478
