ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	comentario.ComentarFiestaLocalDiagnosis	comentarfiestalocaldiagnosis	1590270317343	 	3.3.1
REQUEST	848		ShowLocal	1590270400629	1590270400647	OK	 
REQUEST	448		request_7	1590270400635	1590270400649	OK	 
REQUEST	4098		Home	1590270400587	1590270400649	OK	 
REQUEST	3673		request_2	1590270400641	1590270400653	OK	 
REQUEST	3698		request_2	1590270400642	1590270400654	OK	 
REQUEST	2948		Logged	1590270400655	1590270400657	OK	 
REQUEST	2948		Logged Redirect 1	1590270400657	1590270400658	OK	 
REQUEST	2923		Logged	1590270400655	1590270400658	OK	 
REQUEST	3699		Login	1590270400656	1590270400659	OK	 
REQUEST	4074		Home	1590270400631	1590270400660	OK	 
REQUEST	2923		Logged Redirect 1	1590270400658	1590270400662	OK	 
REQUEST	3699		request_2	1590270400660	1590270400664	OK	 
REQUEST	823		ShowFiesta	1590270400630	1590270400667	OK	 
USER	ComentarFiesta	4075	START	1590270400676	1590270400676
USER	ComentarLocal	4100	START	1590270400676	1590270400676
REQUEST	3674		Login	1590270400674	1590270400678	OK	 
REQUEST	3674		request_2	1590270400678	1590270400680	OK	 
REQUEST	849		ShowLocal	1590270400670	1590270400685	OK	 
REQUEST	4100		Home	1590270400677	1590270400686	OK	 
REQUEST	4075		Home	1590270400677	1590270400688	OK	 
REQUEST	449		request_7	1590270400674	1590270400688	OK	 
REQUEST	2949		Logged	1590270400688	1590270400691	OK	 
REQUEST	2924		Logged	1590270400688	1590270400692	OK	 
REQUEST	2924		Logged Redirect 1	1590270400692	1590270400694	OK	 
REQUEST	3700		Login	1590270400693	1590270400697	OK	 
REQUEST	3675		Login	1590270400693	1590270400697	OK	 
REQUEST	2949		Logged Redirect 1	1590270400691	1590270400697	OK	 
REQUEST	3700		request_2	1590270400697	1590270400698	OK	 
REQUEST	3675		request_2	1590270400697	1590270400700	OK	 
REQUEST	824		ShowFiesta	1590270400669	1590270400703	OK	 
USER	ComentarLocal	4101	START	1590270400705	1590270400705
USER	ComentarFiesta	4076	START	1590270400705	1590270400705
REQUEST	825		ShowFiesta	1590270400695	1590270400709	OK	 
REQUEST	850		ShowLocal	1590270400695	1590270400711	OK	 
REQUEST	4076		Home	1590270400706	1590270400714	OK	 
REQUEST	4101		Home	1590270400706	1590270400715	OK	 
REQUEST	450		request_7	1590270400705	1590270400718	OK	 
REQUEST	2925		Logged	1590270400754	1590270400758	OK	 
REQUEST	3676		Login	1590270400754	1590270400758	OK	 
REQUEST	3701		Login	1590270400755	1590270400760	OK	 
REQUEST	2950		Logged	1590270400754	1590270400761	OK	 
REQUEST	2925		Logged Redirect 1	1590270400758	1590270400762	OK	 
REQUEST	3701		request_2	1590270400760	1590270400763	OK	 
REQUEST	3676		request_2	1590270400759	1590270400764	OK	 
REQUEST	2950		Logged Redirect 1	1590270400761	1590270400765	OK	 
USER	ComentarFiesta	4077	START	1590270400765	1590270400765
USER	ComentarLocal	4102	START	1590270400766	1590270400766
REQUEST	2926		Logged	1590270400770	1590270400773	OK	 
REQUEST	2951		Logged	1590270400770	1590270400773	OK	 
REQUEST	2926		Logged Redirect 1	1590270400773	1590270400774	OK	 
REQUEST	3677		Login	1590270400771	1590270400776	OK	 
REQUEST	3677		request_2	1590270400776	1590270400777	OK	 
REQUEST	2951		Logged Redirect 1	1590270400773	1590270400779	OK	 
REQUEST	3702		Login	1590270400775	1590270400779	OK	 
REQUEST	3702		request_2	1590270400779	1590270400782	OK	 
REQUEST	826		ShowFiesta	1590270400754	1590270400784	OK	 
REQUEST	827		ShowFiesta	1590270400780	1590270400788	OK	 
REQUEST	4102		Home	1590270400768	1590270400788	OK	 
REQUEST	452		request_7	1590270400787	1590270400793	OK	 
REQUEST	852		ShowLocal	1590270400768	1590270400794	OK	 
REQUEST	4077		Home	1590270400766	1590270400796	OK	 
REQUEST	851		ShowLocal	1590270400765	1590270400797	OK	 
USER	ComentarFiesta	4103	START	1590270400798	1590270400798
USER	ComentarLocal	4128	START	1590270400798	1590270400798
REQUEST	451		request_7	1590270400780	1590270400804	OK	 
REQUEST	4103		Home	1590270400799	1590270400806	OK	 
REQUEST	4128		Home	1590270400799	1590270400808	OK	 
REQUEST	3728		Login	1590270400816	1590270400819	OK	 
REQUEST	3703		Login	1590270400816	1590270400819	OK	 
REQUEST	2979		Logged	1590270400816	1590270400819	OK	 
REQUEST	2979		Logged Redirect 1	1590270400819	1590270400821	OK	 
REQUEST	3728		request_2	1590270400819	1590270400822	OK	 
REQUEST	3703		request_2	1590270400819	1590270400822	OK	 
REQUEST	2953		Logged	1590270400832	1590270400834	OK	 
REQUEST	2952		Logged	1590270400832	1590270400834	OK	 
REQUEST	2953		Logged Redirect 1	1590270400834	1590270400836	OK	 
REQUEST	2927		Logged	1590270400832	1590270400836	OK	 
REQUEST	2927		Logged Redirect 1	1590270400836	1590270400836	OK	 
REQUEST	2952		Logged Redirect 1	1590270400834	1590270400838	OK	 
USER	ComentarFiesta	4104	START	1590270400838	1590270400838
USER	ComentarLocal	4129	START	1590270400838	1590270400838
REQUEST	478		request_7	1590270400832	1590270400840	OK	 
REQUEST	878		ShowLocal	1590270400837	1590270400842	OK	 
REQUEST	4104		Home	1590270400839	1590270400847	OK	 
REQUEST	853		ShowFiesta	1590270400837	1590270400847	OK	 
REQUEST	4129		Home	1590270400839	1590270400848	OK	 
REQUEST	2954		Logged	1590270400854	1590270400857	OK	 
REQUEST	3729		Login	1590270400855	1590270400858	OK	 
REQUEST	2980		Logged	1590270400855	1590270400858	OK	 
REQUEST	3704		Login	1590270400855	1590270400858	OK	 
REQUEST	2954		Logged Redirect 1	1590270400857	1590270400861	OK	 
REQUEST	3729		request_2	1590270400858	1590270400861	OK	 
REQUEST	3704		request_2	1590270400859	1590270400861	OK	 
REQUEST	2980		Logged Redirect 1	1590270400858	1590270400862	OK	 
REQUEST	879		ShowLocal	1590270400870	1590270400873	OK	 
USER	ComentarLocal	4130	START	1590270400875	1590270400875
USER	ComentarFiesta	4105	START	1590270400875	1590270400875
REQUEST	854		ShowFiesta	1590270400870	1590270400878	OK	 
REQUEST	4130		Home	1590270400875	1590270400882	OK	 
REQUEST	4105		Home	1590270400875	1590270400882	OK	 
REQUEST	3705		Login	1590270400885	1590270400888	OK	 
REQUEST	2981		Logged	1590270400885	1590270400888	OK	 
REQUEST	3730		Login	1590270400885	1590270400890	OK	 
REQUEST	3705		request_2	1590270400888	1590270400891	OK	 
REQUEST	2955		Logged	1590270400885	1590270400891	OK	 
REQUEST	2981		Logged Redirect 1	1590270400888	1590270400892	OK	 
REQUEST	2955		Logged Redirect 1	1590270400891	1590270400895	OK	 
REQUEST	3730		request_2	1590270400890	1590270400895	OK	 
REQUEST	479		request_7	1590270400885	1590270400897	OK	 
REQUEST	855		ShowFiesta	1590270400901	1590270400906	OK	 
REQUEST	880		ShowLocal	1590270400905	1590270400908	OK	 
USER	ComentarLocal	4131	START	1590270400917	1590270400917
USER	ComentarFiesta	4106	START	1590270400916	1590270400916
REQUEST	4106		Home	1590270400917	1590270400922	OK	 
REQUEST	4131		Home	1590270400917	1590270400922	OK	 
REQUEST	480		request_7	1590270400917	1590270400922	OK	 
REQUEST	2956		Logged	1590270400932	1590270400934	OK	 
REQUEST	2982		Logged	1590270400932	1590270400936	OK	 
REQUEST	3731		Login	1590270400936	1590270400938	OK	 
REQUEST	2982		Logged Redirect 1	1590270400936	1590270400938	OK	 
REQUEST	2956		Logged Redirect 1	1590270400935	1590270400939	OK	 
REQUEST	3706		Login	1590270400936	1590270400939	OK	 
REQUEST	856		ShowFiesta	1590270400935	1590270400942	OK	 
REQUEST	3731		request_2	1590270400938	1590270400944	OK	 
REQUEST	3706		request_2	1590270400939	1590270400945	OK	 
USER	ComentarLocal	4132	START	1590270400954	1590270400954
USER	ComentarFiesta	4107	START	1590270400954	1590270400954
REQUEST	881		ShowLocal	1590270400954	1590270400961	OK	 
REQUEST	4107		Home	1590270400956	1590270400961	OK	 
REQUEST	4132		Home	1590270400956	1590270400961	OK	 
REQUEST	481		request_7	1590270400954	1590270400965	OK	 
REQUEST	3732		Login	1590270400970	1590270400973	OK	 
REQUEST	2983		Logged	1590270400970	1590270400973	OK	 
REQUEST	2957		Logged	1590270400970	1590270400973	OK	 
REQUEST	3707		Login	1590270400970	1590270400973	OK	 
REQUEST	3707		request_2	1590270400974	1590270400975	OK	 
REQUEST	3732		request_2	1590270400973	1590270400975	OK	 
REQUEST	2957		Logged Redirect 1	1590270400973	1590270400976	OK	 
REQUEST	2983		Logged Redirect 1	1590270400973	1590270400977	OK	 
REQUEST	857		ShowFiesta	1590270400970	1590270400980	OK	 
USER	ComentarFiesta	4108	START	1590270401001	1590270401001
USER	ComentarLocal	4133	START	1590270401001	1590270401001
REQUEST	2984		Logged	1590270401005	1590270401009	OK	 
REQUEST	882		ShowLocal	1590270401001	1590270401010	OK	 
REQUEST	2958		Logged	1590270401007	1590270401010	OK	 
REQUEST	2958		Logged Redirect 1	1590270401011	1590270401012	OK	 
REQUEST	482		request_7	1590270401001	1590270401013	OK	 
REQUEST	2984		Logged Redirect 1	1590270401009	1590270401014	OK	 
REQUEST	4133		Home	1590270401001	1590270401015	OK	 
REQUEST	4108		Home	1590270401001	1590270401016	OK	 
REQUEST	3708		Login	1590270401017	1590270401020	OK	 
REQUEST	3733		Login	1590270401018	1590270401021	OK	 
REQUEST	3708		request_2	1590270401020	1590270401024	OK	 
REQUEST	3733		request_2	1590270401022	1590270401025	OK	 
USER	ComentarFiesta	4109	START	1590270401035	1590270401035
REQUEST	883		ShowLocal	1590270401032	1590270401039	OK	 
REQUEST	858		ShowFiesta	1590270401032	1590270401039	OK	 
USER	ComentarLocal	4134	START	1590270401036	1590270401036
REQUEST	4109		Home	1590270401035	1590270401045	OK	 
REQUEST	4134		Home	1590270401038	1590270401045	OK	 
REQUEST	483		request_7	1590270401047	1590270401050	OK	 
REQUEST	2959		Logged	1590270401059	1590270401062	OK	 
REQUEST	2985		Logged	1590270401059	1590270401062	OK	 
REQUEST	2985		Logged Redirect 1	1590270401062	1590270401064	OK	 
REQUEST	2959		Logged Redirect 1	1590270401062	1590270401065	OK	 
USER	ComentarFiesta	4110	START	1590270401075	1590270401075
REQUEST	3709		Login	1590270401075	1590270401078	OK	 
REQUEST	3709		request_2	1590270401079	1590270401080	OK	 
REQUEST	884		ShowLocal	1590270401075	1590270401082	OK	 
USER	ComentarLocal	4135	START	1590270401080	1590270401080
REQUEST	4110		Home	1590270401077	1590270401084	OK	 
REQUEST	2986		Logged	1590270401085	1590270401087	OK	 
REQUEST	859		ShowFiesta	1590270401075	1590270401088	OK	 
REQUEST	2986		Logged Redirect 1	1590270401087	1590270401088	OK	 
REQUEST	2960		Logged	1590270401085	1590270401089	OK	 
REQUEST	4135		Home	1590270401080	1590270401090	OK	 
REQUEST	3734		Login	1590270401086	1590270401090	OK	 
REQUEST	2960		Logged Redirect 1	1590270401089	1590270401092	OK	 
REQUEST	3734		request_2	1590270401090	1590270401092	OK	 
REQUEST	3710		Login	1590270401095	1590270401097	OK	 
REQUEST	3735		Login	1590270401095	1590270401098	OK	 
REQUEST	3710		request_2	1590270401098	1590270401101	OK	 
REQUEST	3735		request_2	1590270401098	1590270401103	OK	 
REQUEST	484		request_7	1590270401095	1590270401105	OK	 
REQUEST	860		ShowFiesta	1590270401095	1590270401106	OK	 
USER	ComentarLocal	4136	START	1590270401122	1590270401122
USER	ComentarFiesta	4111	START	1590270401122	1590270401122
REQUEST	3711		Login	1590270401122	1590270401124	OK	 
REQUEST	3736		Login	1590270401122	1590270401128	OK	 
REQUEST	3711		request_2	1590270401125	1590270401129	OK	 
REQUEST	3736		request_2	1590270401128	1590270401131	OK	 
REQUEST	4136		Home	1590270401124	1590270401134	OK	 
REQUEST	2987		Logged	1590270401132	1590270401136	OK	 
REQUEST	2987		Logged Redirect 1	1590270401137	1590270401140	OK	 
REQUEST	2961		Logged	1590270401134	1590270401140	OK	 
REQUEST	2961		Logged Redirect 1	1590270401140	1590270401142	OK	 
REQUEST	4111		Home	1590270401124	1590270401143	OK	 
REQUEST	885		ShowLocal	1590270401132	1590270401144	OK	 
REQUEST	485		request_7	1590270401122	1590270401149	OK	 
REQUEST	886		ShowLocal	1590270401147	1590270401152	OK	 
REQUEST	861		ShowFiesta	1590270401145	1590270401154	OK	 
USER	ComentarLocal	4137	START	1590270401157	1590270401157
USER	ComentarFiesta	4112	START	1590270401156	1590270401156
REQUEST	4112		Home	1590270401157	1590270401162	OK	 
REQUEST	4137		Home	1590270401157	1590270401162	OK	 
REQUEST	486		request_7	1590270401157	1590270401164	OK	 
REQUEST	2988		Logged	1590270401175	1590270401176	OK	 
REQUEST	3712		Login	1590270401175	1590270401177	OK	 
REQUEST	2962		Logged	1590270401175	1590270401178	OK	 
REQUEST	3737		Login	1590270401175	1590270401179	OK	 
REQUEST	2962		Logged Redirect 1	1590270401178	1590270401179	OK	 
REQUEST	862		ShowFiesta	1590270401175	1590270401181	OK	 
REQUEST	3712		request_2	1590270401178	1590270401181	OK	 
REQUEST	2988		Logged Redirect 1	1590270401176	1590270401181	OK	 
REQUEST	3737		request_2	1590270401179	1590270401182	OK	 
USER	ComentarLocal	4138	START	1590270401202	1590270401202
USER	ComentarFiesta	4113	START	1590270401202	1590270401202
REQUEST	3713		Login	1590270401207	1590270401210	OK	 
REQUEST	887		ShowLocal	1590270401202	1590270401211	OK	 
REQUEST	3713		request_2	1590270401210	1590270401214	OK	 
REQUEST	3738		Login	1590270401210	1590270401214	OK	 
REQUEST	487		request_7	1590270401202	1590270401216	OK	 
REQUEST	3738		request_2	1590270401214	1590270401220	OK	 
REQUEST	4113		Home	1590270401202	1590270401221	OK	 
REQUEST	4138		Home	1590270401202	1590270401221	OK	 
REQUEST	2963		Logged	1590270401233	1590270401235	OK	 
REQUEST	2963		Logged Redirect 1	1590270401235	1590270401236	OK	 
REQUEST	2989		Logged	1590270401234	1590270401239	OK	 
USER	ComentarFiesta	4114	START	1590270401239	1590270401239
USER	ComentarLocal	4139	START	1590270401240	1590270401240
REQUEST	863		ShowFiesta	1590270401235	1590270401243	OK	 
REQUEST	2989		Logged Redirect 1	1590270401239	1590270401244	OK	 
REQUEST	888		ShowLocal	1590270401233	1590270401246	OK	 
REQUEST	4139		Home	1590270401240	1590270401249	OK	 
REQUEST	4114		Home	1590270401240	1590270401252	OK	 
REQUEST	488		request_7	1590270401247	1590270401253	OK	 
REQUEST	2990		Logged	1590270401265	1590270401266	OK	 
REQUEST	2990		Logged Redirect 1	1590270401266	1590270401270	OK	 
REQUEST	3739		Login	1590270401267	1590270401271	OK	 
REQUEST	3714		Login	1590270401268	1590270401271	OK	 
REQUEST	2964		Logged	1590270401265	1590270401271	OK	 
REQUEST	3739		request_2	1590270401271	1590270401273	OK	 
REQUEST	2964		Logged Redirect 1	1590270401271	1590270401274	OK	 
REQUEST	3714		request_2	1590270401271	1590270401275	OK	 
REQUEST	889		ShowLocal	1590270401265	1590270401277	OK	 
USER	ComentarFiesta	4115	START	1590270401279	1590270401279
REQUEST	864		ShowFiesta	1590270401265	1590270401280	OK	 
USER	ComentarLocal	4140	START	1590270401283	1590270401283
REQUEST	4115		Home	1590270401279	1590270401285	OK	 
REQUEST	489		request_7	1590270401276	1590270401286	OK	 
REQUEST	2965		Logged	1590270401289	1590270401291	OK	 
REQUEST	2965		Logged Redirect 1	1590270401291	1590270401293	OK	 
REQUEST	2991		Logged	1590270401291	1590270401293	OK	 
REQUEST	4140		Home	1590270401283	1590270401295	OK	 
REQUEST	3715		Login	1590270401292	1590270401295	OK	 
REQUEST	3740		Login	1590270401292	1590270401295	OK	 
REQUEST	2991		Logged Redirect 1	1590270401293	1590270401297	OK	 
REQUEST	865		ShowFiesta	1590270401289	1590270401298	OK	 
REQUEST	3715		request_2	1590270401295	1590270401300	OK	 
REQUEST	3740		request_2	1590270401295	1590270401300	OK	 
REQUEST	890		ShowLocal	1590270401305	1590270401307	OK	 
USER	ComentarLocal	4141	START	1590270401318	1590270401318
USER	ComentarFiesta	4116	START	1590270401318	1590270401318
REQUEST	4116		Home	1590270401319	1590270401325	OK	 
REQUEST	4141		Home	1590270401318	1590270401325	OK	 
REQUEST	490		request_7	1590270401318	1590270401326	OK	 
REQUEST	2966		Logged	1590270401333	1590270401335	OK	 
REQUEST	2966		Logged Redirect 1	1590270401335	1590270401337	OK	 
REQUEST	2992		Logged	1590270401333	1590270401338	OK	 
REQUEST	2992		Logged Redirect 1	1590270401338	1590270401342	OK	 
REQUEST	3716		Login	1590270401339	1590270401345	OK	 
REQUEST	3741		Login	1590270401341	1590270401346	OK	 
REQUEST	3741		request_2	1590270401347	1590270401350	OK	 
REQUEST	3716		request_2	1590270401346	1590270401351	OK	 
REQUEST	866		ShowFiesta	1590270401335	1590270401354	OK	 
REQUEST	891		ShowLocal	1590270401347	1590270401354	OK	 
USER	ComentarFiesta	4117	START	1590270401356	1590270401356
USER	ComentarLocal	4142	START	1590270401358	1590270401358
REQUEST	4117		Home	1590270401356	1590270401364	OK	 
REQUEST	491		request_7	1590270401356	1590270401366	OK	 
REQUEST	4142		Home	1590270401359	1590270401367	OK	 
REQUEST	2993		Logged	1590270401368	1590270401372	OK	 
REQUEST	2993		Logged Redirect 1	1590270401372	1590270401375	OK	 
REQUEST	2967		Logged	1590270401376	1590270401378	OK	 
REQUEST	3742		Login	1590270401376	1590270401378	OK	 
REQUEST	3717		Login	1590270401376	1590270401378	OK	 
REQUEST	3717		request_2	1590270401378	1590270401379	OK	 
REQUEST	867		ShowFiesta	1590270401368	1590270401381	OK	 
REQUEST	2967		Logged Redirect 1	1590270401378	1590270401382	OK	 
REQUEST	3742		request_2	1590270401378	1590270401382	OK	 
USER	ComentarLocal	4143	START	1590270401402	1590270401402
USER	ComentarFiesta	4118	START	1590270401402	1590270401402
REQUEST	3718		Login	1590270401405	1590270401407	OK	 
REQUEST	3743		Login	1590270401405	1590270401408	OK	 
REQUEST	3743		request_2	1590270401408	1590270401409	OK	 
REQUEST	3718		request_2	1590270401408	1590270401410	OK	 
REQUEST	892		ShowLocal	1590270401402	1590270401412	OK	 
REQUEST	4118		Home	1590270401403	1590270401413	OK	 
REQUEST	4143		Home	1590270401403	1590270401415	OK	 
REQUEST	492		request_7	1590270401402	1590270401416	OK	 
REQUEST	2994		Logged	1590270401418	1590270401420	OK	 
REQUEST	2994		Logged Redirect 1	1590270401420	1590270401422	OK	 
USER	ComentarFiesta	4119	START	1590270401435	1590270401435
USER	ComentarLocal	4144	START	1590270401435	1590270401435
REQUEST	2968		Logged	1590270401434	1590270401436	OK	 
REQUEST	2968		Logged Redirect 1	1590270401437	1590270401439	OK	 
REQUEST	493		request_7	1590270401434	1590270401442	OK	 
REQUEST	4144		Home	1590270401435	1590270401442	OK	 
REQUEST	4119		Home	1590270401435	1590270401442	OK	 
REQUEST	2969		Logged	1590270401456	1590270401460	OK	 
REQUEST	3719		Login	1590270401456	1590270401461	OK	 
REQUEST	2995		Logged	1590270401456	1590270401463	OK	 
REQUEST	2969		Logged Redirect 1	1590270401460	1590270401466	OK	 
REQUEST	3744		Login	1590270401456	1590270401466	OK	 
REQUEST	3719		request_2	1590270401462	1590270401467	OK	 
REQUEST	3744		request_2	1590270401466	1590270401467	OK	 
REQUEST	2995		Logged Redirect 1	1590270401463	1590270401467	OK	 
REQUEST	893		ShowLocal	1590270401456	1590270401470	OK	 
REQUEST	868		ShowFiesta	1590270401456	1590270401475	OK	 
REQUEST	869		ShowFiesta	1590270401473	1590270401480	OK	 
REQUEST	894		ShowLocal	1590270401473	1590270401481	OK	 
USER	ComentarFiesta	4120	START	1590270401481	1590270401481
USER	ComentarLocal	4145	START	1590270401481	1590270401481
REQUEST	494		request_7	1590270401477	1590270401488	OK	 
REQUEST	2996		Logged	1590270401486	1590270401490	OK	 
REQUEST	3720		Login	1590270401488	1590270401492	OK	 
REQUEST	4145		Home	1590270401483	1590270401493	OK	 
REQUEST	3745		Login	1590270401488	1590270401493	OK	 
REQUEST	2970		Logged	1590270401488	1590270401493	OK	 
REQUEST	3720		request_2	1590270401492	1590270401493	OK	 
REQUEST	4120		Home	1590270401482	1590270401496	OK	 
REQUEST	3745		request_2	1590270401493	1590270401497	OK	 
REQUEST	2996		Logged Redirect 1	1590270401491	1590270401498	OK	 
REQUEST	2970		Logged Redirect 1	1590270401493	1590270401498	OK	 
USER	ComentarLocal	4146	START	1590270401518	1590270401518
USER	ComentarFiesta	4121	START	1590270401518	1590270401518
REQUEST	4146		Home	1590270401518	1590270401524	OK	 
REQUEST	4121		Home	1590270401518	1590270401524	OK	 
REQUEST	495		request_7	1590270401518	1590270401526	OK	 
REQUEST	3746		Login	1590270401535	1590270401538	OK	 
REQUEST	3746		request_2	1590270401538	1590270401539	OK	 
REQUEST	2971		Logged	1590270401535	1590270401539	OK	 
REQUEST	3721		Login	1590270401535	1590270401540	OK	 
REQUEST	3721		request_2	1590270401540	1590270401541	OK	 
REQUEST	2971		Logged Redirect 1	1590270401539	1590270401543	OK	 
REQUEST	2997		Logged	1590270401535	1590270401544	OK	 
REQUEST	2997		Logged Redirect 1	1590270401544	1590270401544	OK	 
REQUEST	895		ShowLocal	1590270401535	1590270401546	OK	 
REQUEST	870		ShowFiesta	1590270401535	1590270401548	OK	 
REQUEST	871		ShowFiesta	1590270401535	1590270401548	OK	 
USER	ComentarFiesta	4122	START	1590270401556	1590270401556
USER	ComentarLocal	4147	START	1590270401556	1590270401556
REQUEST	3722		Login	1590270401556	1590270401561	OK	 
REQUEST	3722		request_2	1590270401561	1590270401563	OK	 
REQUEST	4147		Home	1590270401558	1590270401566	OK	 
REQUEST	2972		Logged	1590270401565	1590270401566	OK	 
REQUEST	2972		Logged Redirect 1	1590270401567	1590270401569	OK	 
REQUEST	4122		Home	1590270401558	1590270401572	OK	 
REQUEST	2998		Logged	1590270401567	1590270401574	OK	 
REQUEST	896		ShowLocal	1590270401556	1590270401577	OK	 
REQUEST	2998		Logged Redirect 1	1590270401574	1590270401577	OK	 
REQUEST	496		request_7	1590270401556	1590270401580	OK	 
REQUEST	3747		Login	1590270401575	1590270401580	OK	 
REQUEST	3747		request_2	1590270401581	1590270401583	OK	 
REQUEST	872		ShowFiesta	1590270401587	1590270401591	OK	 
USER	ComentarFiesta	4123	START	1590270401603	1590270401603
USER	ComentarLocal	4148	START	1590270401603	1590270401603
REQUEST	3748		Login	1590270401605	1590270401608	OK	 
REQUEST	3723		Login	1590270401605	1590270401608	OK	 
REQUEST	897		ShowLocal	1590270401603	1590270401610	OK	 
REQUEST	3748		request_2	1590270401608	1590270401611	OK	 
REQUEST	3723		request_2	1590270401608	1590270401611	OK	 
REQUEST	497		request_7	1590270401603	1590270401612	OK	 
REQUEST	4123		Home	1590270401603	1590270401614	OK	 
REQUEST	4148		Home	1590270401603	1590270401616	OK	 
REQUEST	2999		Logged	1590270401619	1590270401621	OK	 
REQUEST	2973		Logged	1590270401619	1590270401622	OK	 
REQUEST	2973		Logged Redirect 1	1590270401622	1590270401623	OK	 
REQUEST	2999		Logged Redirect 1	1590270401621	1590270401624	OK	 
USER	ComentarFiesta	4124	START	1590270401635	1590270401635
USER	ComentarLocal	4149	START	1590270401636	1590270401636
REQUEST	898		ShowLocal	1590270401634	1590270401643	OK	 
REQUEST	4149		Home	1590270401637	1590270401643	OK	 
REQUEST	4124		Home	1590270401636	1590270401643	OK	 
REQUEST	873		ShowFiesta	1590270401634	1590270401644	OK	 
REQUEST	498		request_7	1590270401634	1590270401647	OK	 
REQUEST	3749		Login	1590270401656	1590270401660	OK	 
REQUEST	3724		Login	1590270401656	1590270401661	OK	 
REQUEST	2974		Logged	1590270401656	1590270401662	OK	 
REQUEST	3000		Logged	1590270401656	1590270401663	OK	 
REQUEST	3749		request_2	1590270401660	1590270401663	OK	 
REQUEST	3000		Logged Redirect 1	1590270401663	1590270401663	OK	 
REQUEST	3724		request_2	1590270401662	1590270401664	OK	 
REQUEST	2974		Logged Redirect 1	1590270401662	1590270401665	OK	 
REQUEST	899		ShowLocal	1590270401672	1590270401676	OK	 
REQUEST	499		request_7	1590270401672	1590270401678	OK	 
USER	ComentarFiesta	4125	START	1590270401680	1590270401680
REQUEST	874		ShowFiesta	1590270401672	1590270401680	OK	 
USER	ComentarLocal	4150	START	1590270401682	1590270401682
REQUEST	3750		Login	1590270401685	1590270401687	OK	 
REQUEST	2975		Logged	1590270401685	1590270401690	OK	 
REQUEST	2975		Logged Redirect 1	1590270401690	1590270401691	OK	 
REQUEST	3725		Login	1590270401686	1590270401691	OK	 
REQUEST	3750		request_2	1590270401688	1590270401691	OK	 
REQUEST	3001		Logged	1590270401685	1590270401692	OK	 
REQUEST	3725		request_2	1590270401691	1590270401693	OK	 
REQUEST	3001		Logged Redirect 1	1590270401692	1590270401695	OK	 
REQUEST	4125		Home	1590270401680	1590270401697	OK	 
REQUEST	4150		Home	1590270401683	1590270401697	OK	 
REQUEST	500		request_7	1590270401705	1590270401709	OK	 
REQUEST	875		ShowFiesta	1590270401705	1590270401710	OK	 
USER	ComentarFiesta	4126	START	1590270401720	1590270401720
USER	ComentarLocal	4151	START	1590270401720	1590270401720
REQUEST	2976		Logged	1590270401719	1590270401723	OK	 
REQUEST	3002		Logged	1590270401719	1590270401723	OK	 
REQUEST	2976		Logged Redirect 1	1590270401723	1590270401725	OK	 
REQUEST	3002		Logged Redirect 1	1590270401723	1590270401725	OK	 
REQUEST	900		ShowLocal	1590270401719	1590270401728	OK	 
REQUEST	4151		Home	1590270401721	1590270401729	OK	 
REQUEST	4126		Home	1590270401721	1590270401730	OK	 
REQUEST	3726		Login	1590270401735	1590270401737	OK	 
REQUEST	3751		Login	1590270401735	1590270401737	OK	 
REQUEST	3726		request_2	1590270401738	1590270401740	OK	 
REQUEST	3751		request_2	1590270401738	1590270401740	OK	 
REQUEST	876		ShowFiesta	1590270401735	1590270401744	OK	 
USER	ComentarLocal	4152	START	1590270401757	1590270401757
USER	ComentarFiesta	4127	START	1590270401757	1590270401757
REQUEST	901		ShowLocal	1590270401757	1590270401762	OK	 
REQUEST	4127		Home	1590270401757	1590270401763	OK	 
REQUEST	4152		Home	1590270401757	1590270401763	OK	 
REQUEST	501		request_7	1590270401757	1590270401766	OK	 
REQUEST	3752		Login	1590270401772	1590270401774	OK	 
REQUEST	3003		Logged	1590270401772	1590270401776	OK	 
REQUEST	3752		request_2	1590270401775	1590270401777	OK	 
REQUEST	3003		Logged Redirect 1	1590270401776	1590270401777	OK	 
REQUEST	3727		Login	1590270401772	1590270401777	OK	 
REQUEST	2977		Logged	1590270401775	1590270401778	OK	 
REQUEST	2977		Logged Redirect 1	1590270401778	1590270401778	OK	 
REQUEST	3727		request_2	1590270401778	1590270401780	OK	 
REQUEST	902		ShowLocal	1590270401788	1590270401792	OK	 
REQUEST	877		ShowFiesta	1590270401788	1590270401794	OK	 
USER	ComentarFiesta	4153	START	1590270401803	1590270401803
USER	ComentarLocal	4178	START	1590270401804	1590270401804
REQUEST	3004		Logged	1590270401807	1590270401810	OK	 
REQUEST	2978		Logged	1590270401807	1590270401810	OK	 
REQUEST	3004		Logged Redirect 1	1590270401810	1590270401810	OK	 
REQUEST	3753		Login	1590270401810	1590270401811	OK	 
REQUEST	3753		request_2	1590270401811	1590270401812	OK	 
REQUEST	3778		Login	1590270401810	1590270401813	OK	 
REQUEST	3778		request_2	1590270401813	1590270401814	OK	 
REQUEST	2978		Logged Redirect 1	1590270401810	1590270401815	OK	 
REQUEST	928		ShowLocal	1590270401806	1590270401815	OK	 
