ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	DashboardTest	dashboardtest	1590851688957	 	3.3.1
USER	VerDashboardPositivo	100	START	1590851692743	1590851692743
USER	VerDashboardNegativo	120	START	1590851692743	1590851692743
REQUEST	100		Home	1590851692743	1590851692747	OK	 
REQUEST	120		Home	1590851692743	1590851692747	OK	 
USER	VerDashboardNegativo	121	START	1590851692795	1590851692795
USER	VerDashboardPositivo	101	START	1590851692795	1590851692795
REQUEST	121		Home	1590851692796	1590851692799	OK	 
REQUEST	101		Home	1590851692796	1590851692800	OK	 
USER	VerDashboardPositivo	102	START	1590851692841	1590851692841
USER	VerDashboardNegativo	122	START	1590851692841	1590851692841
REQUEST	102		Home	1590851692842	1590851692845	OK	 
REQUEST	122		Home	1590851692842	1590851692845	OK	 
USER	VerDashboardNegativo	143	START	1590851692904	1590851692904
USER	VerDashboardPositivo	123	START	1590851692904	1590851692904
REQUEST	143		Home	1590851692904	1590851692909	OK	 
REQUEST	123		Home	1590851692904	1590851692909	OK	 
USER	VerDashboardPositivo	124	START	1590851692950	1590851692950
USER	VerDashboardNegativo	144	START	1590851692950	1590851692950
REQUEST	144		Home	1590851692950	1590851692954	OK	 
REQUEST	124		Home	1590851692950	1590851692954	OK	 
USER	VerDashboardNegativo	145	START	1590851693002	1590851693002
USER	VerDashboardPositivo	125	START	1590851693002	1590851693002
REQUEST	125		Home	1590851693014	1590851693017	OK	 
REQUEST	145		Home	1590851693002	1590851693017	OK	 
USER	VerDashboardPositivo	126	START	1590851693055	1590851693055
USER	VerDashboardNegativo	146	START	1590851693055	1590851693055
REQUEST	126		Home	1590851693055	1590851693059	OK	 
REQUEST	146		Home	1590851693055	1590851693059	OK	 
USER	VerDashboardNegativo	147	START	1590851693102	1590851693102
USER	VerDashboardPositivo	127	START	1590851693102	1590851693102
REQUEST	127		Home	1590851693102	1590851693105	OK	 
REQUEST	147		Home	1590851693102	1590851693105	OK	 
USER	VerDashboardNegativo	148	START	1590851693155	1590851693155
USER	VerDashboardPositivo	128	START	1590851693155	1590851693155
REQUEST	148		Home	1590851693156	1590851693160	OK	 
REQUEST	128		Home	1590851693156	1590851693160	OK	 
USER	VerDashboardNegativo	149	START	1590851693200	1590851693200
USER	VerDashboardPositivo	129	START	1590851693200	1590851693200
REQUEST	149		Home	1590851693200	1590851693203	OK	 
REQUEST	129		Home	1590851693200	1590851693203	OK	 
USER	VerDashboardNegativo	150	START	1590851693250	1590851693250
USER	VerDashboardPositivo	130	START	1590851693250	1590851693250
REQUEST	150		Home	1590851693251	1590851693254	OK	 
REQUEST	130		Home	1590851693251	1590851693254	OK	 
USER	VerDashboardPositivo	131	START	1590851693301	1590851693301
USER	VerDashboardNegativo	151	START	1590851693301	1590851693301
REQUEST	131		Home	1590851693301	1590851693304	OK	 
REQUEST	151		Home	1590851693301	1590851693304	OK	 
USER	VerDashboardNegativo	152	START	1590851693353	1590851693353
USER	VerDashboardPositivo	132	START	1590851693353	1590851693353
REQUEST	152		Home	1590851693353	1590851693357	OK	 
REQUEST	132		Home	1590851693353	1590851693357	OK	 
USER	VerDashboardPositivo	133	START	1590851693400	1590851693400
USER	VerDashboardNegativo	153	START	1590851693400	1590851693400
REQUEST	153		Home	1590851693400	1590851693403	OK	 
REQUEST	133		Home	1590851693400	1590851693403	OK	 
USER	VerDashboardPositivo	134	START	1590851693452	1590851693452
USER	VerDashboardNegativo	154	START	1590851693452	1590851693452
REQUEST	134		Home	1590851693452	1590851693455	OK	 
REQUEST	154		Home	1590851693452	1590851693455	OK	 
USER	VerDashboardNegativo	155	START	1590851693504	1590851693504
