ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	CrearValoraciones	crearvaloraciones	1590567675602	 	3.3.1
REQUEST	31		Home	1590567676463	1590567676677	OK	 
REQUEST	48		Home	1590567676547	1590567676678	OK	 
REQUEST	446		Home	1590567676523	1590567676679	OK	 
USER	CrearValoracion	73	START	1590567676679	1590567676679
REQUEST	51		Home	1590567676575	1590567676681	OK	 
REQUEST	432		Home	1590567676443	1590567676681	OK	 
USER	CrearValoracion	74	START	1590567676680	1590567676680
USER	CrearValoracion	75	START	1590567676682	1590567676682
USER	AceptarLocal	477	START	1590567676680	1590567676680
USER	AceptarLocal	476	START	1590567676679	1590567676679
REQUEST	448		Home	1590567676525	1590567676683	OK	 
USER	AceptarLocal	479	START	1590567676683	1590567676683
REQUEST	53		Home	1590567676579	1590567676685	OK	 
USER	CrearValoracion	72	START	1590567676679	1590567676679
USER	AceptarLocal	478	START	1590567676683	1590567676683
USER	AceptarLocal	480	START	1590567676687	1590567676687
USER	AceptarLocal	481	START	1590567676687	1590567676687
USER	CrearValoracion	77	START	1590567676687	1590567676687
USER	CrearValoracion	76	START	1590567676686	1590567676686
REQUEST	454		Home	1590567676574	1590567676689	OK	 
REQUEST	456		Home	1590567676579	1590567676689	OK	 
REQUEST	451		Home	1590567676546	1590567676689	OK	 
REQUEST	52		Home	1590567676577	1590567676691	OK	 
REQUEST	74		Home	1590567676681	1590567676692	OK	 
USER	CrearValoracion	79	START	1590567676692	1590567676692
USER	AceptarLocal	482	START	1590567676692	1590567676692
USER	AceptarLocal	483	START	1590567676692	1590567676692
USER	CrearValoracion	78	START	1590567676691	1590567676691
REQUEST	481		Home	1590567676688	1590567676695	OK	 
REQUEST	457		Home	1590567676592	1590567676695	OK	 
REQUEST	455		Home	1590567676575	1590567676695	OK	 
REQUEST	458		Home	1590567676597	1590567676696	OK	 
REQUEST	477		Home	1590567676682	1590567676697	OK	 
REQUEST	57		Home	1590567676595	1590567676698	OK	 
REQUEST	76		Home	1590567676687	1590567676698	OK	 
REQUEST	35		Home	1590567676479	1590567676700	OK	 
REQUEST	34		Home	1590567676480	1590567676700	OK	 
REQUEST	73		Home	1590567676680	1590567676700	OK	 
REQUEST	450		Home	1590567676546	1590567676703	OK	 
REQUEST	54		Home	1590567676593	1590567676703	OK	 
REQUEST	62		Home	1590567676621	1590567676703	OK	 
REQUEST	466		Home	1590567676628	1590567676705	OK	 
REQUEST	438		Home	1590567676472	1590567676705	OK	 
REQUEST	60		Home	1590567676602	1590567676705	OK	 
REQUEST	467		Home	1590567676630	1590567676706	OK	 
REQUEST	468		Home	1590567676636	1590567676707	OK	 
REQUEST	460		Home	1590567676597	1590567676707	OK	 
REQUEST	435		Home	1590567676465	1590567676709	OK	 
REQUEST	441		Home	1590567676498	1590567676710	OK	 
REQUEST	470		Home	1590567676635	1590567676710	OK	 
REQUEST	56		Home	1590567676597	1590567676710	OK	 
REQUEST	431		Home	1590567676444	1590567676711	OK	 
REQUEST	32		Home	1590567676464	1590567676713	OK	 
REQUEST	67		Home	1590567676641	1590567676712	OK	 
REQUEST	66		Home	1590567676645	1590567676716	OK	 
REQUEST	469		Home	1590567676632	1590567676716	OK	 
REQUEST	473		Home	1590567676656	1590567676717	OK	 
REQUEST	29		Home	1590567676444	1590567676717	OK	 
REQUEST	69		Home	1590567676658	1590567676718	OK	 
USER	CrearValoracion	82	START	1590567676720	1590567676720
REQUEST	474		Home	1590567676654	1590567676722	OK	 
USER	CrearValoracion	83	START	1590567676720	1590567676720
USER	CrearValoracion	80	START	1590567676720	1590567676720
USER	AceptarLocal	485	START	1590567676720	1590567676720
USER	AceptarLocal	484	START	1590567676720	1590567676720
USER	CrearValoracion	81	START	1590567676720	1590567676720
USER	AceptarLocal	487	START	1590567676722	1590567676722
USER	AceptarLocal	486	START	1590567676722	1590567676722
USER	CrearValoracion	84	START	1590567676725	1590567676725
USER	CrearValoracion	85	START	1590567676725	1590567676725
USER	AceptarLocal	489	START	1590567676726	1590567676726
REQUEST	71		Home	1590567676654	1590567676726	OK	 
USER	AceptarLocal	488	START	1590567676726	1590567676726
REQUEST	50		Home	1590567676573	1590567676730	OK	 
REQUEST	85		Home	1590567676726	1590567676730	OK	 
REQUEST	72		Home	1590567676683	1590567676732	OK	 
