ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.AceptarAnuncioTest	aceptaranunciotest	1590183478526	 	3.3.1
REQUEST	139		Welcome	1590183482667	1590183482675	OK	 
USER	AceptarAnuncioTestPositivo	116	START	1590183482715	1590183482715
USER	AceptarAnuncioTestNegativo	140	START	1590183482715	1590183482715
REQUEST	140		Welcome	1590183482715	1590183482723	OK	 
REQUEST	116		Welcome	1590183482715	1590183482726	OK	 
USER	AceptarAnuncioTestPositivo	117	START	1590183482752	1590183482752
USER	AceptarAnuncioTestNegativo	141	START	1590183482758	1590183482758
REQUEST	117		Welcome	1590183482754	1590183482766	OK	 
REQUEST	141		Welcome	1590183482760	1590183482770	OK	 
USER	AceptarAnuncioTestPositivo	118	START	1590183482785	1590183482785
USER	AceptarAnuncioTestNegativo	142	START	1590183482785	1590183482785
REQUEST	142		Welcome	1590183482786	1590183482797	OK	 
REQUEST	118		Welcome	1590183482786	1590183482802	OK	 
USER	AceptarAnuncioTestNegativo	143	START	1590183482836	1590183482836
USER	AceptarAnuncioTestPositivo	119	START	1590183482836	1590183482836
REQUEST	119		Welcome	1590183482837	1590183482844	OK	 
REQUEST	143		Welcome	1590183482837	1590183482846	OK	 
USER	AceptarAnuncioTestNegativo	144	START	1590183482872	1590183482872
USER	AceptarAnuncioTestPositivo	120	START	1590183482872	1590183482872
REQUEST	120		Welcome	1590183482872	1590183482878	OK	 
REQUEST	144		Welcome	1590183482872	1590183482880	OK	 
USER	AceptarAnuncioTestNegativo	145	START	1590183482912	1590183482912
USER	AceptarAnuncioTestPositivo	121	START	1590183482912	1590183482912
REQUEST	121		Welcome	1590183482913	1590183482919	OK	 
REQUEST	145		Welcome	1590183482913	1590183482921	OK	 
USER	AceptarAnuncioTestNegativo	146	START	1590183482953	1590183482953
USER	AceptarAnuncioTestPositivo	122	START	1590183482953	1590183482953
REQUEST	122		Welcome	1590183482955	1590183482965	OK	 
REQUEST	146		Welcome	1590183482955	1590183482968	OK	 
USER	AceptarAnuncioTestPositivo	123	START	1590183482991	1590183482991
USER	AceptarAnuncioTestNegativo	147	START	1590183483000	1590183483000
REQUEST	123		Welcome	1590183482993	1590183483009	OK	 
REQUEST	147		Welcome	1590183483001	1590183483012	OK	 
USER	AceptarAnuncioTestNegativo	148	START	1590183483026	1590183483026
USER	AceptarAnuncioTestPositivo	124	START	1590183483025	1590183483025
REQUEST	124		Welcome	1590183483028	1590183483036	OK	 
REQUEST	148		Welcome	1590183483028	1590183483038	OK	 
USER	AceptarAnuncioTestPositivo	125	START	1590183483069	1590183483069
USER	AceptarAnuncioTestNegativo	149	START	1590183483069	1590183483069
REQUEST	125		Welcome	1590183483070	1590183483075	OK	 
REQUEST	149		Welcome	1590183483070	1590183483076	OK	 
USER	AceptarAnuncioTestPositivo	126	START	1590183483104	1590183483104
USER	AceptarAnuncioTestNegativo	150	START	1590183483104	1590183483104
REQUEST	150		Welcome	1590183483105	1590183483111	OK	 
REQUEST	126		Welcome	1590183483105	1590183483113	OK	 
USER	AceptarAnuncioTestNegativo	151	START	1590183483153	1590183483153
USER	AceptarAnuncioTestPositivo	127	START	1590183483153	1590183483153
REQUEST	127		Welcome	1590183483154	1590183483160	OK	 
REQUEST	151		Welcome	1590183483154	1590183483162	OK	 
USER	AceptarAnuncioTestNegativo	152	START	1590183483196	1590183483196
USER	AceptarAnuncioTestNegativo	179	START	1590183483200	1590183483200
USER	AceptarAnuncioTestPositivo	153	START	1590183483200	1590183483200
USER	AceptarAnuncioTestPositivo	128	START	1590183483196	1590183483196
REQUEST	152		Welcome	1590183483197	1590183483211	OK	 
REQUEST	153		Welcome	1590183483200	1590183483211	OK	 
REQUEST	128		Welcome	1590183483204	1590183483216	OK	 
REQUEST	179		Welcome	1590183483201	1590183483216	OK	 
USER	AceptarAnuncioTestNegativo	180	START	1590183483261	1590183483261
USER	AceptarAnuncioTestPositivo	154	START	1590183483260	1590183483260
REQUEST	154		Welcome	1590183483261	1590183483267	OK	 
REQUEST	180		Welcome	1590183483261	1590183483267	OK	 
USER	AceptarAnuncioTestNegativo	181	START	1590183483303	1590183483303
USER	AceptarAnuncioTestPositivo	155	START	1590183483303	1590183483303
REQUEST	155		Welcome	1590183483304	1590183483308	OK	 
REQUEST	181		Welcome	1590183483304	1590183483308	OK	 
USER	AceptarAnuncioTestPositivo	156	START	1590183483339	1590183483339
USER	AceptarAnuncioTestNegativo	182	START	1590183483339	1590183483339
REQUEST	182		Welcome	1590183483339	1590183483344	OK	 
REQUEST	156		Welcome	1590183483339	1590183483344	OK	 
USER	AceptarAnuncioTestNegativo	183	START	1590183483375	1590183483375
USER	AceptarAnuncioTestPositivo	157	START	1590183483375	1590183483375
REQUEST	183		Welcome	1590183483375	1590183483382	OK	 
REQUEST	157		Welcome	1590183483375	1590183483382	OK	 
USER	AceptarAnuncioTestPositivo	158	START	1590183483414	1590183483414
USER	AceptarAnuncioTestNegativo	184	START	1590183483414	1590183483414
REQUEST	158		Welcome	1590183483415	1590183483419	OK	 
REQUEST	184		Welcome	1590183483415	1590183483419	OK	 
USER	AceptarAnuncioTestPositivo	159	START	1590183483454	1590183483454
USER	AceptarAnuncioTestNegativo	185	START	1590183483454	1590183483454
REQUEST	159		Welcome	1590183483455	1590183483460	OK	 
REQUEST	185		Welcome	1590183483455	1590183483460	OK	 
USER	AceptarAnuncioTestNegativo	186	START	1590183483509	1590183483509
USER	AceptarAnuncioTestPositivo	160	START	1590183483509	1590183483509
REQUEST	160		Welcome	1590183483509	1590183483514	OK	 
REQUEST	186		Welcome	1590183483509	1590183483514	OK	 
USER	AceptarAnuncioTestPositivo	161	START	1590183483534	1590183483534
USER	AceptarAnuncioTestNegativo	187	START	1590183483534	1590183483534
REQUEST	187		Welcome	1590183483535	1590183483540	OK	 
REQUEST	161		Welcome	1590183483535	1590183483540	OK	 
USER	AceptarAnuncioTestNegativo	188	START	1590183483574	1590183483574
USER	AceptarAnuncioTestPositivo	162	START	1590183483574	1590183483574
REQUEST	188		Welcome	1590183483575	1590183483580	OK	 
REQUEST	162		Welcome	1590183483575	1590183483580	OK	 
USER	AceptarAnuncioTestNegativo	189	START	1590183483614	1590183483614
USER	AceptarAnuncioTestPositivo	163	START	1590183483614	1590183483614
REQUEST	189		Welcome	1590183483615	1590183483624	OK	 
REQUEST	163		Welcome	1590183483615	1590183483624	OK	 
USER	AceptarAnuncioTestPositivo	164	START	1590183483654	1590183483654
USER	AceptarAnuncioTestNegativo	190	START	1590183483654	1590183483654
REQUEST	164		Welcome	1590183483655	1590183483667	OK	 
REQUEST	190		Welcome	1590183483655	1590183483672	OK	 
USER	AceptarAnuncioTestNegativo	191	START	1590183483696	1590183483696
USER	AceptarAnuncioTestPositivo	165	START	1590183483696	1590183483696
REQUEST	165		Welcome	1590183483697	1590183483702	OK	 
REQUEST	191		Welcome	1590183483697	1590183483702	OK	 
USER	AceptarAnuncioTestNegativo	192	START	1590183483737	1590183483737
USER	AceptarAnuncioTestPositivo	166	START	1590183483737	1590183483737
REQUEST	166		Welcome	1590183483738	1590183483744	OK	 
REQUEST	192		Welcome	1590183483738	1590183483744	OK	 
USER	AceptarAnuncioTestPositivo	167	START	1590183483774	1590183483774
USER	AceptarAnuncioTestNegativo	193	START	1590183483774	1590183483774
REQUEST	167		Welcome	1590183483775	1590183483781	OK	 
REQUEST	193		Welcome	1590183483775	1590183483781	OK	 
USER	AceptarAnuncioTestPositivo	168	START	1590183483820	1590183483820
USER	AceptarAnuncioTestNegativo	194	START	1590183483820	1590183483820
REQUEST	168		Welcome	1590183483820	1590183483827	OK	 
REQUEST	194		Welcome	1590183483820	1590183483827	OK	 
USER	AceptarAnuncioTestPositivo	169	START	1590183483859	1590183483859
USER	AceptarAnuncioTestNegativo	195	START	1590183483859	1590183483859
REQUEST	169		Welcome	1590183483860	1590183483868	OK	 
REQUEST	195		Welcome	1590183483860	1590183483868	OK	 
USER	AceptarAnuncioTestNegativo	196	START	1590183483899	1590183483899
USER	AceptarAnuncioTestPositivo	170	START	1590183483899	1590183483899
REQUEST	170		Welcome	1590183483900	1590183483905	OK	 
REQUEST	196		Welcome	1590183483900	1590183483905	OK	 
USER	AceptarAnuncioTestNegativo	197	START	1590183483937	1590183483937
USER	AceptarAnuncioTestPositivo	171	START	1590183483937	1590183483937
REQUEST	197		Welcome	1590183483938	1590183483946	OK	 
REQUEST	171		Welcome	1590183483938	1590183483946	OK	 
USER	AceptarAnuncioTestNegativo	198	START	1590183483975	1590183483975
USER	AceptarAnuncioTestPositivo	172	START	1590183483975	1590183483975
REQUEST	198		Welcome	1590183483976	1590183483985	OK	 
REQUEST	172		Welcome	1590183483976	1590183483985	OK	 
USER	AceptarAnuncioTestNegativo	199	START	1590183484015	1590183484015
USER	AceptarAnuncioTestPositivo	173	START	1590183484015	1590183484015
REQUEST	199		Welcome	1590183484016	1590183484026	OK	 
REQUEST	173		Welcome	1590183484016	1590183484026	OK	 
USER	AceptarAnuncioTestNegativo	200	START	1590183484057	1590183484057
USER	AceptarAnuncioTestPositivo	174	START	1590183484057	1590183484057
REQUEST	174		Welcome	1590183484058	1590183484068	OK	 
REQUEST	200		Welcome	1590183484058	1590183484068	OK	 
USER	AceptarAnuncioTestNegativo	201	START	1590183484100	1590183484100
USER	AceptarAnuncioTestPositivo	175	START	1590183484100	1590183484100
REQUEST	175		Welcome	1590183484101	1590183484112	OK	 
