ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.BuscarLocalTestDiagnosis	buscarlocaltestdiagnosis	1590161608069	 	3.3.1
REQUEST	124		Welcome	1590161611280	1590161611285	OK	 
REQUEST	52		Welcome	1590161611280	1590161611287	OK	 
USER	BuscarLocalNegativoTest	125	START	1590161611306	1590161611306
USER	BuscarLocalPositivoTest	53	START	1590161611306	1590161611306
REQUEST	125		Welcome	1590161611306	1590161611311	OK	 
REQUEST	53		Welcome	1590161611306	1590161611312	OK	 
USER	BuscarLocalPositivoTest	54	START	1590161611337	1590161611337
USER	BuscarLocalNegativoTest	126	START	1590161611337	1590161611337
REQUEST	126		Welcome	1590161611337	1590161611342	OK	 
REQUEST	54		Welcome	1590161611337	1590161611344	OK	 
USER	BuscarLocalPositivoTest	55	START	1590161611358	1590161611358
REQUEST	55		Welcome	1590161611358	1590161611362	OK	 
USER	BuscarLocalNegativoTest	127	START	1590161611369	1590161611369
REQUEST	127		Welcome	1590161611369	1590161611373	OK	 
USER	BuscarLocalPositivoTest	56	START	1590161611389	1590161611389
REQUEST	56		Welcome	1590161611389	1590161611393	OK	 
USER	BuscarLocalNegativoTest	128	START	1590161611399	1590161611399
REQUEST	128		Welcome	1590161611400	1590161611404	OK	 
USER	BuscarLocalPositivoTest	57	START	1590161611421	1590161611421
USER	BuscarLocalNegativoTest	129	START	1590161611421	1590161611421
REQUEST	57		Welcome	1590161611422	1590161611431	OK	 
REQUEST	129		Welcome	1590161611422	1590161611434	OK	 
USER	BuscarLocalNegativoTest	130	START	1590161611447	1590161611447
USER	BuscarLocalPositivoTest	58	START	1590161611447	1590161611447
REQUEST	58		Welcome	1590161611448	1590161611457	OK	 
REQUEST	130		Welcome	1590161611448	1590161611459	OK	 
USER	BuscarLocalPositivoTest	59	START	1590161611479	1590161611479
USER	BuscarLocalNegativoTest	131	START	1590161611479	1590161611479
REQUEST	59		Welcome	1590161611480	1590161611492	OK	 
REQUEST	131		Welcome	1590161611485	1590161611494	OK	 
USER	BuscarLocalNegativoTest	132	START	1590161611511	1590161611511
USER	BuscarLocalPositivoTest	60	START	1590161611511	1590161611511
REQUEST	132		Welcome	1590161611512	1590161611528	OK	 
REQUEST	60		Welcome	1590161611519	1590161611530	OK	 
USER	BuscarLocalPositivoTest	61	START	1590161611536	1590161611536
USER	BuscarLocalNegativoTest	133	START	1590161611555	1590161611555
REQUEST	61		Welcome	1590161611537	1590161611560	OK	 
REQUEST	133		Welcome	1590161611556	1590161611561	OK	 
USER	BuscarLocalPositivoTest	62	START	1590161611562	1590161611562
REQUEST	62		Welcome	1590161611562	1590161611566	OK	 
USER	BuscarLocalNegativoTest	134	START	1590161611566	1590161611566
REQUEST	134		Welcome	1590161611567	1590161611571	OK	 
USER	BuscarLocalPositivoTest	63	START	1590161611586	1590161611586
REQUEST	63		Welcome	1590161611587	1590161611591	OK	 
USER	BuscarLocalNegativoTest	135	START	1590161611597	1590161611597
REQUEST	135		Welcome	1590161611598	1590161611603	OK	 
USER	BuscarLocalNegativoTest	136	START	1590161611618	1590161611618
USER	BuscarLocalPositivoTest	64	START	1590161611618	1590161611618
REQUEST	136		Welcome	1590161611619	1590161611624	OK	 
REQUEST	64		Welcome	1590161611619	1590161611626	OK	 
USER	BuscarLocalPositivoTest	65	START	1590161611649	1590161611649
USER	BuscarLocalNegativoTest	137	START	1590161611650	1590161611650
REQUEST	65		Welcome	1590161611650	1590161611655	OK	 
REQUEST	137		Welcome	1590161611651	1590161611656	OK	 
USER	BuscarLocalPositivoTest	66	START	1590161611681	1590161611681
USER	BuscarLocalNegativoTest	138	START	1590161611681	1590161611681
REQUEST	66		Welcome	1590161611681	1590161611686	OK	 
REQUEST	138		Welcome	1590161611681	1590161611687	OK	 
USER	BuscarLocalNegativoTest	139	START	1590161611706	1590161611706
USER	BuscarLocalPositivoTest	67	START	1590161611706	1590161611706
REQUEST	139		Welcome	1590161611706	1590161611711	OK	 
REQUEST	67		Welcome	1590161611706	1590161611712	OK	 
USER	BuscarLocalPositivoTest	68	START	1590161611738	1590161611738
USER	BuscarLocalNegativoTest	140	START	1590161611738	1590161611738
REQUEST	68		Welcome	1590161611739	1590161611743	OK	 
REQUEST	140		Welcome	1590161611739	1590161611744	OK	 
USER	BuscarLocalPositivoTest	69	START	1590161611759	1590161611759
REQUEST	69		Welcome	1590161611760	1590161611765	OK	 
USER	BuscarLocalNegativoTest	141	START	1590161611776	1590161611776
REQUEST	141		Welcome	1590161611777	1590161611781	OK	 
USER	BuscarLocalPositivoTest	70	START	1590161611787	1590161611787
REQUEST	70		Welcome	1590161611788	1590161611792	OK	 
USER	BuscarLocalNegativoTest	142	START	1590161611798	1590161611798
REQUEST	142		Welcome	1590161611798	1590161611803	OK	 
USER	BuscarLocalNegativoTest	143	START	1590161611820	1590161611820
USER	BuscarLocalPositivoTest	71	START	1590161611820	1590161611820
REQUEST	71		Welcome	1590161611820	1590161611825	OK	 
REQUEST	143		Welcome	1590161611820	1590161611826	OK	 
USER	BuscarLocalPositivoTest	144	START	1590161611830	1590161611830
REQUEST	144		Welcome	1590161611830	1590161611834	OK	 
USER	BuscarLocalPositivoTest	145	START	1590161611846	1590161611846
USER	BuscarLocalNegativoTest	179	START	1590161611846	1590161611846
REQUEST	179		Welcome	1590161611846	1590161611850	OK	 
REQUEST	145		Welcome	1590161611846	1590161611850	OK	 
USER	BuscarLocalPositivoTest	146	START	1590161611877	1590161611877
USER	BuscarLocalNegativoTest	180	START	1590161611877	1590161611877
REQUEST	146		Welcome	1590161611877	1590161611882	OK	 
REQUEST	180		Welcome	1590161611877	1590161611882	OK	 
USER	BuscarLocalPositivoTest	147	START	1590161611908	1590161611908
USER	BuscarLocalNegativoTest	181	START	1590161611908	1590161611908
REQUEST	147		Welcome	1590161611908	1590161611912	OK	 
REQUEST	181		Welcome	1590161611908	1590161611912	OK	 
USER	BuscarLocalPositivoTest	148	START	1590161611940	1590161611940
USER	BuscarLocalNegativoTest	182	START	1590161611940	1590161611940
REQUEST	148		Welcome	1590161611941	1590161611946	OK	 
REQUEST	182		Welcome	1590161611941	1590161611947	OK	 
USER	BuscarLocalNegativoTest	183	START	1590161611966	1590161611966
USER	BuscarLocalPositivoTest	149	START	1590161611966	1590161611966
REQUEST	183		Welcome	1590161611967	1590161611974	OK	 
REQUEST	149		Welcome	1590161611967	1590161611974	OK	 
USER	BuscarLocalPositivoTest	150	START	1590161611998	1590161611998
USER	BuscarLocalNegativoTest	184	START	1590161611998	1590161611998
REQUEST	184		Welcome	1590161611998	1590161612003	OK	 
REQUEST	150		Welcome	1590161611998	1590161612004	OK	 
USER	BuscarLocalNegativoTest	185	START	1590161612019	1590161612019
REQUEST	185		Welcome	1590161612020	1590161612025	OK	 
USER	BuscarLocalPositivoTest	151	START	1590161612029	1590161612029
REQUEST	151		Welcome	1590161612029	1590161612034	OK	 
USER	BuscarLocalNegativoTest	186	START	1590161612050	1590161612050
USER	BuscarLocalPositivoTest	152	START	1590161612050	1590161612050
REQUEST	186		Welcome	1590161612050	1590161612057	OK	 
REQUEST	152		Welcome	1590161612050	1590161612057	OK	 
USER	BuscarLocalNegativoTest	187	START	1590161612076	1590161612076
USER	BuscarLocalPositivoTest	153	START	1590161612076	1590161612076
REQUEST	153		Welcome	1590161612076	1590161612080	OK	 
REQUEST	187		Welcome	1590161612076	1590161612080	OK	 
USER	BuscarLocalNegativoTest	188	START	1590161612107	1590161612107
USER	BuscarLocalPositivoTest	154	START	1590161612107	1590161612107
REQUEST	154		Welcome	1590161612107	1590161612111	OK	 
REQUEST	188		Welcome	1590161612107	1590161612111	OK	 
USER	BuscarLocalNegativoTest	189	START	1590161612139	1590161612139
USER	BuscarLocalPositivoTest	155	START	1590161612139	1590161612139
REQUEST	155		Welcome	1590161612141	1590161612153	OK	 
REQUEST	189		Welcome	1590161612141	1590161612153	OK	 
USER	BuscarLocalPositivoTest	156	START	1590161612168	1590161612168
USER	BuscarLocalNegativoTest	190	START	1590161612170	1590161612170
REQUEST	156		Welcome	1590161612170	1590161612183	OK	 
REQUEST	190		Welcome	1590161612171	1590161612183	OK	 
USER	BuscarLocalNegativoTest	191	START	1590161612199	1590161612199
USER	BuscarLocalPositivoTest	157	START	1590161612199	1590161612199
REQUEST	191		Welcome	1590161612199	1590161612208	OK	 
REQUEST	157		Welcome	1590161612199	1590161612208	OK	 
USER	BuscarLocalNegativoTest	192	START	1590161612221	1590161612221
REQUEST	192		Welcome	1590161612222	1590161612226	OK	 
USER	BuscarLocalPositivoTest	158	START	1590161612226	1590161612226
REQUEST	158		Welcome	1590161612227	1590161612235	OK	 
USER	BuscarLocalPositivoTest	159	START	1590161612247	1590161612247
USER	BuscarLocalNegativoTest	193	START	1590161612252	1590161612252
REQUEST	159		Welcome	1590161612248	1590161612258	OK	 
REQUEST	193		Welcome	1590161612253	1590161612259	OK	 
USER	BuscarLocalPositivoTest	160	START	1590161612277	1590161612277
USER	BuscarLocalNegativoTest	194	START	1590161612279	1590161612279
REQUEST	160		Welcome	1590161612278	1590161612287	OK	 
REQUEST	194		Welcome	1590161612280	1590161612290	OK	 
USER	BuscarLocalPositivoTest	161	START	1590161612313	1590161612313
USER	BuscarLocalNegativoTest	195	START	1590161612313	1590161612313
REQUEST	195		Welcome	1590161612314	1590161612318	OK	 
REQUEST	161		Welcome	1590161612314	1590161612318	OK	 
USER	BuscarLocalPositivoTest	162	START	1590161612336	1590161612336
USER	BuscarLocalNegativoTest	196	START	1590161612336	1590161612336
REQUEST	162		Welcome	1590161612336	1590161612341	OK	 
REQUEST	196		Welcome	1590161612336	1590161612341	OK	 
USER	BuscarLocalNegativoTest	197	START	1590161612366	1590161612366
USER	BuscarLocalPositivoTest	163	START	1590161612366	1590161612366
REQUEST	197		Welcome	1590161612367	1590161612371	OK	 
REQUEST	163		Welcome	1590161612367	1590161612371	OK	 
USER	BuscarLocalNegativoTest	198	START	1590161612400	1590161612400
USER	BuscarLocalPositivoTest	164	START	1590161612400	1590161612400
REQUEST	164		Welcome	1590161612400	1590161612404	OK	 
REQUEST	198		Welcome	1590161612400	1590161612406	OK	 
USER	BuscarLocalNegativoTest	199	START	1590161612416	1590161612416
REQUEST	199		Welcome	1590161612416	1590161612420	OK	 
USER	BuscarLocalPositivoTest	165	START	1590161612426	1590161612426
REQUEST	165		Welcome	1590161612427	1590161612430	OK	 
USER	BuscarLocalNegativoTest	200	START	1590161612448	1590161612448
