ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	VerFiestasQueAsistoTest	verfiestasqueasistotest	1590262739038	 	3.3.1
REQUEST	9		favicon.png	1590262740741	1590262740743	OK	 
REQUEST	9		spring-pivotal-logo.png	1590262740742	1590262740747	OK	 
REQUEST	9		petclinic.css	1590262740741	1590262740749	OK	 
REQUEST	9		jquery-ui.min.css	1590262740742	1590262740750	OK	 
REQUEST	9		jquery-ui.theme.min.css	1590262740742	1590262740751	OK	 
REQUEST	9		jquery.min.js	1590262740742	1590262740751	OK	 
REQUEST	9		jquery-ui.min.js	1590262740744	1590262740752	OK	 
REQUEST	9		bootstrap.min.js	1590262740748	1590262740752	OK	 
REQUEST	29		jquery.min.js	1590262740635	1590262740794	OK	 
REQUEST	8		jquery.min.js	1590262740642	1590262740815	OK	 
USER	VerFiestasQueAsistoNegativo	31	START	1590262740822	1590262740822
REQUEST	31		Home	1590262740823	1590262740827	OK	 
REQUEST	31		favicon.png	1590262740830	1590262740832	OK	 
USER	VerFiestasQueAsistoPositivo	10	START	1590262740832	1590262740832
REQUEST	31		jquery-ui.min.css	1590262740830	1590262740836	OK	 
REQUEST	10		Home	1590262740833	1590262740837	OK	 
REQUEST	31		petclinic.css	1590262740830	1590262740838	OK	 
REQUEST	31		jquery-ui.theme.min.css	1590262740831	1590262740839	OK	 
REQUEST	31		spring-pivotal-logo.png	1590262740831	1590262740840	OK	 
REQUEST	31		jquery.min.js	1590262740831	1590262740841	OK	 
REQUEST	31		jquery-ui.min.js	1590262740833	1590262740841	OK	 
REQUEST	31		bootstrap.min.js	1590262740838	1590262740842	OK	 
REQUEST	10		favicon.png	1590262740840	1590262740843	OK	 
REQUEST	10		jquery-ui.min.css	1590262740841	1590262740847	OK	 
REQUEST	10		jquery-ui.min.js	1590262740844	1590262740848	OK	 
REQUEST	10		petclinic.css	1590262740841	1590262740849	OK	 
REQUEST	10		jquery-ui.theme.min.css	1590262740842	1590262740849	OK	 
REQUEST	10		spring-pivotal-logo.png	1590262740842	1590262740850	OK	 
