ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.AceptarORechazarFiesta	aceptarorechazarfiesta	1590562783700	 	3.3.1
USER	DenegarFiesta	490	START	1590562785527	1590562785527
USER	DenegarFiesta	486	START	1590562785524	1590562785524
USER	AceptarFiesta	87	START	1590562785528	1590562785528
USER	AceptarFiesta	86	START	1590562785528	1590562785528
USER	DenegarFiesta	491	START	1590562785529	1590562785529
USER	DenegarFiesta	492	START	1590562785529	1590562785529
USER	DenegarFiesta	488	START	1590562785524	1590562785524
USER	AceptarFiesta	83	START	1590562785524	1590562785524
USER	AceptarFiesta	89	START	1590562785536	1590562785536
USER	AceptarFiesta	88	START	1590562785536	1590562785536
USER	DenegarFiesta	494	START	1590562785537	1590562785537
USER	DenegarFiesta	493	START	1590562785537	1590562785537
USER	AceptarFiesta	90	START	1590562785541	1590562785541
USER	AceptarFiesta	91	START	1590562785542	1590562785542
USER	DenegarFiesta	495	START	1590562785544	1590562785544
USER	DenegarFiesta	496	START	1590562785545	1590562785545
USER	AceptarFiesta	92	START	1590562785545	1590562785545
USER	AceptarFiesta	93	START	1590562785548	1590562785548
USER	DenegarFiesta	498	START	1590562785551	1590562785551
USER	DenegarFiesta	497	START	1590562785550	1590562785550
USER	AceptarFiesta	94	START	1590562785552	1590562785552
USER	AceptarFiesta	95	START	1590562785554	1590562785554
USER	DenegarFiesta	499	START	1590562785554	1590562785554
USER	AceptarFiesta	96	START	1590562785558	1590562785558
USER	AceptarFiesta	97	START	1590562785562	1590562785562
USER	DenegarFiesta	501	START	1590562785563	1590562785563
USER	DenegarFiesta	502	START	1590562785564	1590562785564
USER	DenegarFiesta	500	START	1590562785557	1590562785557
USER	DenegarFiesta	503	START	1590562785567	1590562785567
USER	AceptarFiesta	98	START	1590562785567	1590562785567
USER	DenegarFiesta	504	START	1590562785568	1590562785568
REQUEST	438		Home	1590562785269	1590562785568	OK	 
USER	AceptarFiesta	99	START	1590562785567	1590562785567
REQUEST	48		Home	1590562785322	1590562785574	OK	 
REQUEST	32		Home	1590562785270	1590562785579	OK	 
REQUEST	443		Home	1590562785285	1590562785579	OK	 
REQUEST	453		Home	1590562785322	1590562785587	OK	 
REQUEST	500		Home	1590562785566	1590562785589	OK	 
REQUEST	429		Home	1590562785205	1590562785589	OK	 
REQUEST	463		Home	1590562785372	1590562785591	OK	 
REQUEST	58		Home	1590562785371	1590562785592	OK	 
REQUEST	433		Home	1590562785229	1590562785594	OK	 
REQUEST	29		Home	1590562785229	1590562785594	OK	 
REQUEST	57		Home	1590562785358	1590562785592	OK	 
REQUEST	52		Home	1590562785352	1590562785592	OK	 
REQUEST	53		Home	1590562785354	1590562785596	OK	 
REQUEST	452		Home	1590562785322	1590562785598	OK	 
REQUEST	441		Home	1590562785284	1590562785598	OK	 
USER	AceptarFiesta	101	START	1590562785599	1590562785599
USER	DenegarFiesta	505	START	1590562785599	1590562785599
USER	DenegarFiesta	506	START	1590562785600	1590562785600
USER	AceptarFiesta	100	START	1590562785598	1590562785598
USER	DenegarFiesta	507	START	1590562785601	1590562785601
USER	AceptarFiesta	103	START	1590562785600	1590562785600
USER	AceptarFiesta	104	START	1590562785602	1590562785602
USER	DenegarFiesta	509	START	1590562785604	1590562785604
USER	DenegarFiesta	508	START	1590562785602	1590562785602
USER	DenegarFiesta	510	START	1590562785605	1590562785605
USER	AceptarFiesta	102	START	1590562785600	1590562785600
USER	AceptarFiesta	105	START	1590562785603	1590562785603
REQUEST	51		Home	1590562785338	1590562785608	OK	 
REQUEST	31		Home	1590562785274	1590562785609	OK	 
REQUEST	105		Home	1590562785607	1590562785612	OK	 
REQUEST	33		Home	1590562785269	1590562785613	OK	 
REQUEST	27		Home	1590562785229	1590562785614	OK	 
USER	AceptarFiesta	107	START	1590562785615	1590562785615
USER	DenegarFiesta	511	START	1590562785615	1590562785615
USER	DenegarFiesta	512	START	1590562785616	1590562785616
USER	AceptarFiesta	108	START	1590562785617	1590562785617
USER	AceptarFiesta	109	START	1590562785617	1590562785617
USER	DenegarFiesta	513	START	1590562785618	1590562785618
USER	DenegarFiesta	514	START	1590562785618	1590562785618
REQUEST	20		Home	1590562785185	1590562785620	OK	 
USER	AceptarFiesta	106	START	1590562785614	1590562785614
REQUEST	427		Home	1590562785194	1590562785623	OK	 
REQUEST	21		Home	1590562785184	1590562785624	OK	 
REQUEST	464		Home	1590562785372	1590562785625	OK	 
REQUEST	457		Home	1590562785355	1590562785625	OK	 
REQUEST	37		Home	1590562785283	1590562785627	OK	 
REQUEST	437		Home	1590562785269	1590562785629	OK	 
REQUEST	41		Home	1590562785340	1590562785629	OK	 
REQUEST	436		Home	1590562785268	1590562785629	OK	 
REQUEST	26		Home	1590562785230	1590562785632	OK	 
REQUEST	445		Home	1590562785342	1590562785633	OK	 
REQUEST	23		Home	1590562785194	1590562785634	OK	 
USER	AceptarFiesta	110	START	1590562785635	1590562785635
USER	DenegarFiesta	515	START	1590562785636	1590562785636
USER	AceptarFiesta	111	START	1590562785635	1590562785635
USER	DenegarFiesta	516	START	1590562785637	1590562785637
USER	AceptarFiesta	112	START	1590562785641	1590562785641
REQUEST	35		Home	1590562785291	1590562785642	OK	 
USER	AceptarFiesta	113	START	1590562785642	1590562785642
USER	DenegarFiesta	517	START	1590562785645	1590562785645
USER	DenegarFiesta	518	START	1590562785646	1590562785646
USER	DenegarFiesta	520	START	1590562785648	1590562785648
USER	AceptarFiesta	114	START	1590562785648	1590562785648
USER	AceptarFiesta	115	START	1590562785648	1590562785648
USER	DenegarFiesta	519	START	1590562785648	1590562785648
REQUEST	467		Home	1590562785405	1590562785650	OK	 
REQUEST	520		Home	1590562785649	1590562785653	OK	 
REQUEST	64		Home	1590562785406	1590562785653	OK	 
REQUEST	449		Home	1590562785319	1590562785655	OK	 
REQUEST	451		Home	1590562785322	1590562785659	OK	 
REQUEST	465		Home	1590562785402	1590562785659	OK	 
REQUEST	67		Home	1590562785446	1590562785661	OK	 
REQUEST	49		Home	1590562785322	1590562785662	OK	 
REQUEST	477		Home	1590562785455	1590562785663	OK	 
REQUEST	59		Home	1590562785371	1590562785665	OK	 
REQUEST	77		Home	1590562785463	1590562785666	OK	 
REQUEST	73		Home	1590562785456	1590562785666	OK	 
REQUEST	455		Home	1590562785339	1590562785668	OK	 
REQUEST	459		Home	1590562785357	1590562785668	OK	 
REQUEST	439		Home	1590562785281	1590562785670	OK	 
REQUEST	61		Home	1590562785401	1590562785671	OK	 
REQUEST	65		Home	1590562785406	1590562785671	OK	 
REQUEST	469		Home	1590562785406	1590562785675	OK	 
REQUEST	55		Home	1590562785356	1590562785675	OK	 
USER	AceptarFiesta	116	START	1590562785679	1590562785679
REQUEST	473		Home	1590562785450	1590562785680	OK	 
USER	DenegarFiesta	521	START	1590562785681	1590562785681
USER	DenegarFiesta	522	START	1590562785682	1590562785682
USER	AceptarFiesta	119	START	1590562785683	1590562785683
USER	AceptarFiesta	118	START	1590562785682	1590562785682
USER	DenegarFiesta	523	START	1590562785684	1590562785684
USER	DenegarFiesta	524	START	1590562785684	1590562785684
USER	AceptarFiesta	120	START	1590562785684	1590562785684
USER	AceptarFiesta	117	START	1590562785680	1590562785680
USER	AceptarFiesta	121	START	1590562785685	1590562785685
REQUEST	71		Home	1590562785452	1590562785691	OK	 
REQUEST	68		Home	1590562785448	1590562785692	OK	 
REQUEST	475		Home	1590562785453	1590562785692	OK	 
REQUEST	39		Home	1590562785285	1590562785695	OK	 
USER	AceptarFiesta	123	START	1590562785698	1590562785698
USER	AceptarFiesta	122	START	1590562785698	1590562785698
REQUEST	471		Home	1590562785447	1590562785699	OK	 
USER	DenegarFiesta	525	START	1590562785700	1590562785700
USER	DenegarFiesta	526	START	1590562785701	1590562785701
USER	AceptarFiesta	125	START	1590562785703	1590562785703
