ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.AceptarLocalTest	aceptarlocaltest	1590257138182	 	3.3.1
USER	AceptarLocalTestPositivo	167	START	1590257143637	1590257143637
REQUEST	167		Welcome	1590257143638	1590257143643	OK	 
REQUEST	187		Welcome	1590257143638	1590257143643	OK	 
USER	AceptarLocalTestNegativo	188	START	1590257143683	1590257143683
USER	AceptarLocalTestPositivo	168	START	1590257143683	1590257143683
REQUEST	168		Welcome	1590257143684	1590257143687	OK	 
REQUEST	188		Welcome	1590257143684	1590257143687	OK	 
USER	AceptarLocalTestPositivo	169	START	1590257143732	1590257143732
USER	AceptarLocalTestNegativo	189	START	1590257143732	1590257143732
REQUEST	189		Welcome	1590257143733	1590257143735	OK	 
REQUEST	169		Welcome	1590257143733	1590257143735	OK	 
USER	AceptarLocalTestNegativo	190	START	1590257143779	1590257143779
USER	AceptarLocalTestPositivo	170	START	1590257143779	1590257143779
REQUEST	190		Welcome	1590257143780	1590257143785	OK	 
REQUEST	170		Welcome	1590257143780	1590257143785	OK	 
USER	AceptarLocalTestPositivo	171	START	1590257143830	1590257143830
USER	AceptarLocalTestNegativo	191	START	1590257143830	1590257143830
REQUEST	171		Welcome	1590257143831	1590257143836	OK	 
REQUEST	191		Welcome	1590257143831	1590257143837	OK	 
USER	AceptarLocalTestPositivo	172	START	1590257143878	1590257143878
USER	AceptarLocalTestNegativo	192	START	1590257143878	1590257143878
REQUEST	192		Welcome	1590257143879	1590257143884	OK	 
REQUEST	172		Welcome	1590257143879	1590257143885	OK	 
USER	AceptarLocalTestNegativo	193	START	1590257143928	1590257143928
USER	AceptarLocalTestPositivo	173	START	1590257143928	1590257143928
REQUEST	193		Welcome	1590257143928	1590257143931	OK	 
REQUEST	173		Welcome	1590257143928	1590257143931	OK	 
USER	AceptarLocalTestNegativo	194	START	1590257143986	1590257143986
USER	AceptarLocalTestPositivo	174	START	1590257143986	1590257143986
REQUEST	194		Welcome	1590257143987	1590257143993	OK	 
REQUEST	174		Welcome	1590257143987	1590257143993	OK	 
