ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.CrearAnuncioTest	crearanunciotest	1590177273315	 	3.3.1
REQUEST	51		Welcome	1590177276843	1590177276845	OK	 
USER	CrearAnuncioTestNegativo	103	START	1590177276858	1590177276858
USER	CrearAnuncioTestPositivo	104	START	1590177276858	1590177276858
REQUEST	104		Welcome	1590177276858	1590177276861	OK	 
REQUEST	103		Welcome	1590177276858	1590177276861	OK	 
USER	CrearAnuncioTestNegativo	129	START	1590177276889	1590177276889
REQUEST	129		Welcome	1590177276891	1590177276896	OK	 
USER	CrearAnuncioTestPositivo	105	START	1590177276905	1590177276905
REQUEST	105		Welcome	1590177276909	1590177276914	OK	 
USER	CrearAnuncioTestNegativo	130	START	1590177276931	1590177276931
REQUEST	130		Welcome	1590177276931	1590177276934	OK	 
USER	CrearAnuncioTestPositivo	106	START	1590177276946	1590177276946
REQUEST	106		Welcome	1590177276947	1590177276951	OK	 
USER	CrearAnuncioTestNegativo	131	START	1590177276978	1590177276978
USER	CrearAnuncioTestPositivo	107	START	1590177276978	1590177276978
REQUEST	107		Welcome	1590177276979	1590177276983	OK	 
REQUEST	131		Welcome	1590177276979	1590177276984	OK	 
USER	CrearAnuncioTestNegativo	132	START	1590177277009	1590177277009
REQUEST	132		Welcome	1590177277009	1590177277012	OK	 
USER	CrearAnuncioTestPositivo	108	START	1590177277025	1590177277025
REQUEST	108		Welcome	1590177277025	1590177277028	OK	 
USER	CrearAnuncioTestNegativo	133	START	1590177277056	1590177277056
USER	CrearAnuncioTestPositivo	109	START	1590177277058	1590177277058
REQUEST	133		Welcome	1590177277057	1590177277065	OK	 
REQUEST	109		Welcome	1590177277058	1590177277067	OK	 
USER	CrearAnuncioTestNegativo	134	START	1590177277088	1590177277088
REQUEST	134		Welcome	1590177277089	1590177277094	OK	 
USER	CrearAnuncioTestPositivo	110	START	1590177277103	1590177277103
REQUEST	110		Welcome	1590177277104	1590177277110	OK	 
USER	CrearAnuncioTestNegativo	135	START	1590177277134	1590177277134
REQUEST	135		Welcome	1590177277134	1590177277138	OK	 
USER	CrearAnuncioTestPositivo	111	START	1590177277138	1590177277138
REQUEST	111		Welcome	1590177277139	1590177277142	OK	 
USER	CrearAnuncioTestNegativo	136	START	1590177277168	1590177277168
REQUEST	136		Welcome	1590177277168	1590177277171	OK	 
USER	CrearAnuncioTestPositivo	112	START	1590177277181	1590177277181
REQUEST	112		Welcome	1590177277181	1590177277184	OK	 
USER	CrearAnuncioTestNegativo	137	START	1590177277212	1590177277212
REQUEST	137		Welcome	1590177277213	1590177277216	OK	 
USER	CrearAnuncioTestPositivo	113	START	1590177277227	1590177277227
REQUEST	113		Welcome	1590177277228	1590177277231	OK	 
USER	CrearAnuncioTestNegativo	138	START	1590177277248	1590177277248
REQUEST	138		Welcome	1590177277248	1590177277252	OK	 
USER	CrearAnuncioTestPositivo	114	START	1590177277259	1590177277259
REQUEST	114		Welcome	1590177277259	1590177277263	OK	 
USER	CrearAnuncioTestNegativo	139	START	1590177277290	1590177277290
REQUEST	139		Welcome	1590177277291	1590177277294	OK	 
USER	CrearAnuncioTestNegativo	140	START	1590177277337	1590177277337
USER	CrearAnuncioTestPositivo	116	START	1590177277338	1590177277338
REQUEST	140		Welcome	1590177277337	1590177277342	OK	 
REQUEST	116		Welcome	1590177277338	1590177277364	OK	 
USER	CrearAnuncioTestPositivo	115	START	1590177277306	1590177277306
REQUEST	115		Welcome	1590177277364	1590177277368	OK	 
USER	CrearAnuncioTestNegativo	141	START	1590177277371	1590177277371
REQUEST	141		Welcome	1590177277371	1590177277377	OK	 
USER	CrearAnuncioTestPositivo	117	START	1590177277379	1590177277379
REQUEST	117		Welcome	1590177277380	1590177277383	OK	 
USER	CrearAnuncioTestNegativo	142	START	1590177277415	1590177277415
USER	CrearAnuncioTestPositivo	118	START	1590177277418	1590177277418
REQUEST	142		Welcome	1590177277416	1590177277420	OK	 
REQUEST	118		Welcome	1590177277418	1590177277423	OK	 
USER	CrearAnuncioTestNegativo	143	START	1590177277448	1590177277448
REQUEST	143		Welcome	1590177277448	1590177277452	OK	 
USER	CrearAnuncioTestPositivo	119	START	1590177277462	1590177277462
REQUEST	119		Welcome	1590177277462	1590177277465	OK	 
USER	CrearAnuncioTestNegativo	144	START	1590177277493	1590177277493
REQUEST	144		Welcome	1590177277494	1590177277497	OK	 
USER	CrearAnuncioTestPositivo	120	START	1590177277498	1590177277498
REQUEST	120		Welcome	1590177277498	1590177277501	OK	 
USER	CrearAnuncioTestNegativo	145	START	1590177277528	1590177277528
REQUEST	145		Welcome	1590177277528	1590177277531	OK	 
USER	CrearAnuncioTestPositivo	121	START	1590177277540	1590177277540
REQUEST	121		Welcome	1590177277540	1590177277543	OK	 
USER	CrearAnuncioTestNegativo	146	START	1590177277571	1590177277571
REQUEST	146		Welcome	1590177277572	1590177277575	OK	 
USER	CrearAnuncioTestPositivo	122	START	1590177277587	1590177277587
REQUEST	122		Welcome	1590177277587	1590177277591	OK	 
USER	CrearAnuncioTestNegativo	147	START	1590177277618	1590177277618
USER	CrearAnuncioTestPositivo	123	START	1590177277618	1590177277618
REQUEST	147		Welcome	1590177277618	1590177277622	OK	 
REQUEST	123		Welcome	1590177277618	1590177277623	OK	 
USER	CrearAnuncioTestNegativo	148	START	1590177277649	1590177277649
REQUEST	148		Welcome	1590177277650	1590177277653	OK	 
USER	CrearAnuncioTestPositivo	124	START	1590177277665	1590177277665
REQUEST	124		Welcome	1590177277665	1590177277669	OK	 
USER	CrearAnuncioTestNegativo	149	START	1590177277696	1590177277696
USER	CrearAnuncioTestPositivo	125	START	1590177277698	1590177277698
REQUEST	149		Welcome	1590177277697	1590177277700	OK	 
REQUEST	125		Welcome	1590177277698	1590177277701	OK	 
USER	CrearAnuncioTestNegativo	150	START	1590177277728	1590177277728
REQUEST	150		Welcome	1590177277728	1590177277731	OK	 
USER	CrearAnuncioTestPositivo	126	START	1590177277743	1590177277743
REQUEST	126		Welcome	1590177277744	1590177277747	OK	 
USER	CrearAnuncioTestNegativo	151	START	1590177277774	1590177277774
REQUEST	151		Welcome	1590177277775	1590177277778	OK	 
USER	CrearAnuncioTestPositivo	127	START	1590177277778	1590177277778
REQUEST	127		Welcome	1590177277778	1590177277781	OK	 
USER	CrearAnuncioTestNegativo	152	START	1590177277808	1590177277808
REQUEST	152		Welcome	1590177277808	1590177277811	OK	 
USER	CrearAnuncioTestPositivo	128	START	1590177277821	1590177277821
REQUEST	128		Welcome	1590177277822	1590177277826	OK	 
